step,loss,mcm_loss,pdr_loss,max_grad,step_ms
0,2.239270687,0.9305823445,1.308688283,9.765123367,7038.821056
1,2.137815952,0.8293522,1.308463812,7.90175581,223.470485
2,2.08695364,0.7787172794,1.30823648,5.869752407,210.969129
3,2.058321714,0.7503136992,1.308007956,4.181986809,209.350707
4,2.038825512,0.7310524583,1.307772994,3.106083155,208.956672
5,2.02296257,0.7154285908,1.307534099,2.43587327,246.272667
6,2.007264614,0.6999754906,1.307289124,1.962741852,234.283933
7,1.992469549,0.6854303479,1.307039142,1.609821916,224.764083
8,1.978986025,0.6722036004,1.306782365,1.449113846,224.238270
9,1.965290308,0.6587675214,1.306522846,1.712189198,224.681328
