step,loss,mcm_loss,pdr_loss,max_grad,step_ms
0,2.239270687,0.9305824637,1.308688283,9.765123367,7014.454597
1,2.137815952,0.8293522,1.308463812,7.901754856,206.818961
2,2.08695364,0.7787172794,1.30823648,5.869751453,213.244598
3,2.058321714,0.7503136992,1.308007956,4.181986332,207.995914
4,2.038825512,0.7310523987,1.307772994,3.106082678,204.768039
5,2.02296257,0.7154285908,1.307534099,2.435873747,209.239508
6,2.007264614,0.6999755502,1.307289124,1.962741733,207.013546
7,1.992469549,0.6854303479,1.307039142,1.609822154,214.966005
8,1.978986025,0.6722036004,1.306782365,1.449113727,208.861660
9,1.965290308,0.6587675214,1.306522846,1.712188721,210.409763
10,1.951187134,0.6449283957,1.306258798,2.130933285,211.327180
